Mon Dec 19 01:45:22 2016    ./stats/16-12-18_win

         22426 function calls (21868 primitive calls) in 4542.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 4528.839  215.659 4528.839  215.659 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\importlib\util.py:1(<module>)
        1    0.000    0.000    1.069    1.069 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:507(join)
        8    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\synchronize.py:101(__getstate__)
       14    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:51(__setitem__)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:144(Process)
        1    0.000    0.000    0.010    0.010 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:35(<module>)
      100    0.000    0.000    0.000    0.000 <string>:12(__new__)
        6    0.000    0.000    0.049    0.008 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1060(_wait_for_tstate_lock)
        4    0.000    0.000 4528.790 1132.198 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:261(wait)
      331    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        5    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1269(info)
        4    0.000    0.000    0.002    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:531(compile)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:287(_open)
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\connection.py:520(Pipe)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      146    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       55    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        4    0.000    0.000    1.021    0.255 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:115(join)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:487(formatTime)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\spawn.py:78(get_command_line)
        2    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:34(<module>)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:957(flush)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.007    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:826(start)
      224    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffImagePlugin.py:378(ImageFileDirectory_v2)
        1    0.000    0.000    0.024    0.024 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\queues.py:10(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\importlib\abc.py:1(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\tempfile.py:24(<module>)
        5    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1471(callHandlers)
        4    0.000    0.000 4528.790 1132.198 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:531(wait)
        1    0.000    0.000    0.004    0.004 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:10(<module>)
    78/49    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:314(_create_)
        1    0.000    0.000    0.004    0.004 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:10(<module>)
       27    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:26(__exit__)
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\selectors.py:5(<module>)
        4    0.000    0.000    0.029    0.007 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:95(start)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\synchronize.py:11(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:525(_terminate_pool)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\importlib\abc.py:18(_register)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:554(format)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       32    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:250(choice)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:382(format)
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\lzma.py:9(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:975(_Unpickler)
        5    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1392(_log)
        6    0.000    0.000    0.049    0.008 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1022(join)
       24    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_binary.py:52(i16be)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:74(join)
